site_id,year,N_fert_grower,N_fert_reduced,dul_dep,ll15_dep,root_depth,whc,LAI_max,rain_annual,day_sow,swdef_photo_fw,swdef_expan_fw,swdef_pheno_fw,L1,day_v5,sw_dep_v5,biomass_v5,surfaceom_wt_v5,root_wt_v5,lai_v5,oc_20cm_v5,oc_40cm_v5,n_20cm_v5,n_40cm_v5,n_60cm_v5,n_0_60cm_v5,n_deep_v5,esw_pct_v5,water_table_v5,sand_40cm,om_40cm,clay_40cm,restriction,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,tmean_1,tmean_2,tmean_3,tmean_4,tmean_5,tmean_6,rad_1,rad_2,rad_3,rad_4,rad_5,rad_6,Y_corn_lt_avg,lat,long,P,junk1,junk2,junk3,junk4,junk5,junk6,junk7,junk8,junk9,junk10,junk11,junk12,junk13,junk14,junk15
460,2017,190,150,644.3,375.5,1577,268.8,3.168,1034,95,0.746,NA,1,12.79,131,746.5,NA,243.8,606.5,0.551,2.386,2.331,3.339,6.099,8.719,18.16,14.3,1,2000,8.021,3.894,31.31,NA,211,367,32,71,45,308,7.05,NA,21.31,24.06,25.71,14.82,11.37,18.39,21.76,NA,19.94,12.84,11560,37.78,-88.22,1309,29,NA,190765,22.7,9,1.94,13.2,8.03,F5,F2,0,0,44,122,F1
462,2017,190,150,621.5,346.9,1582,NA,3.139,NA,95,0.7794,0.4907,1,13.16,131,719.7,778.4,243.8,597.1,0.551,2.077,2.027,3.009,5.565,8.069,NA,13.25,1,2000,7.874,3.376,27.87,NA,211,367,32,71,NA,308,NA,15.77,21.31,NA,25.71,14.82,11.37,18.39,21.76,21.08,19.94,NA,11720,37.84,-88.22,1330,30,9.29,162572,NA,13,9.68,7.56,8.03,F5,F2,0,0,70,122,F2
464,2017,190,150,651.5,492,1621,159.5,3.309,1096,97,0.6471,0.2647,1,13.9,132,761.5,779.4,243.4,608.7,0.56,1.742,1.681,3.2,8,13.1,24.3,23.6,1,2000,9,2.82,35.81,250,214,361,60,72,60,329,7.263,16.34,21.29,23.97,25.91,14.86,11.27,18.51,21.73,20.93,19.03,12.86,10630,37.78,-88.57,1361,22,9.29,190625,30.3,10,9.68,1.89,16.1,NA,F2,0,0,35,122,NA
473,2017,200,160,NA,386,1572,270.2,NA,1045,NA,0.7324,0.5092,1,NA,NA,NA,713.3,238.8,602.2,0.5251,NA,1.791,3.502,9.243,15.53,28.27,27.59,1,2000,13.12,2.991,33.67,250,213,349,41,69,41,332,NA,15.93,21.28,24.05,25.8,NA,11.47,18.14,21.73,21.2,19.75,12.89,10970,37.75,-88.24,1331,39,3.1,116608,22.7,NA,NA,1.89,20.1,F5,F1,0,0,NA,122,F1
485,2017,210,170,562.7,288.8,1598,273.9,2.718,1038,94,NA,0.4876,1,24.86,NA,657.6,795.7,254.7,611.8,0.5545,NA,0.7605,1.273,2.322,NA,7.417,NA,1,1307,18.13,1.247,17.4,250,176,398,33,60,43,328,6.941,15.82,NA,24.33,25.73,15.08,11.37,18.14,21.39,20.92,19.89,NA,11670,38,-88.07,1199,NA,9.29,89041,22.7,9,5.81,5.67,4.01,F5,NA,0,0,40,122,F1
502,2018,220,180,428.2,154.4,1591,273.8,3.43,NA,95,0.9955,0.9769,1,53.07,134,446.5,511.6,361.2,755,0.4066,0.9793,0.9047,1.852,NA,2.804,7.058,NA,0.9899,2000,22.25,1.477,21.2,250,486,98,159,178,13,572,3.1,14.2,24.16,25.68,26.86,15.2,11.29,20.7,19.08,17.35,21.61,12.62,11530,37.71,-88.2,1483,21,9.29,50341,NA,10,9.68,NA,NA,F5,NA,0,0,38,122,F1
506,2018,220,180,591.5,NA,1594,290.5,3.548,1534,94,1,1,1,58.21,134,601.4,648.7,342.4,756.3,0.55,0.9328,0.9629,1.861,2.677,3.92,8.457,NA,0.9814,2000,6.255,1.69,NA,250,NA,119,161,199,NA,561,3.205,14.12,24.27,25.78,NA,15.36,11.22,20.46,18.9,17.46,21.32,12.67,11910,37.67,-88,1486,35,18.6,94529,22.7,9,1.94,20.8,20.1,F5,NA,0,0,40,122,F1
535,2018,220,180,611,325.5,1602,285.5,3.395,1171,100,0.9847,0.8788,1,29.8,136,633.1,621.5,361,NA,NA,1.007,NA,2.6,5.7,10.2,18.5,25.59,1,2000,5.988,1.47,16.84,250,347,70,101,102,52,499,1.21,15.34,24.01,25.35,25.98,13.86,11.28,NA,19.89,17.9,21.62,NA,11600,39.12,-89.39,1576,44,9.29,252930,1.89,6,1.94,1.89,NA,F4,F1,0,0,42,122,F1
538,2018,220,180,581.9,309.2,1579,272.7,3.355,NA,100,0.9988,0.9633,NA,33.92,136,NA,455.2,367.7,808,0.505,1.01,0.8979,2.779,6.046,10.83,19.66,28.44,0.9851,2000,6.951,1.458,20.6,186.5,361,72,102,109,55,512,NA,15.19,23.97,25.26,25.92,13.81,11.27,20.7,19.88,18.01,21.2,12.23,11700,39.16,-89.24,1597,46,9.29,192963,18.9,13,5.81,1.89,4.01,F2,F2,0,2415,35,95.3,F2
543,2017,180,140,610.7,330.2,1598,NA,3.411,834,100,1,1,NA,NA,135,673.9,NA,300.7,777.5,0.53,2.626,NA,3.953,6.759,9.112,19.82,NA,1,2000,2.32,4.402,29.31,250,203,246,102,40,15,228,5.452,16.03,21.6,NA,27.53,13.87,NA,19.42,21.78,21.24,21.14,12.43,NA,39.12,-90.39,1388,17,NA,237078,3.78,7,9.68,NA,NA,F5,F1,0,0,35,122,F1
558,2018,200,160,646.9,388.3,1581,NA,3.501,1181,99,0.9523,0.8372,1,28.76,135,NA,533,378.4,849,0.504,2.359,NA,6.357,12.59,NA,37.78,32.22,1,2000,4,3.896,28.4,250,318,98,101,113,NA,490,1.227,15.07,24.12,25.54,26.33,13.99,11.22,20.51,NA,17.94,21.27,12.29,11300,39.11,-89.88,1593,64,NA,178556,1.89,6,5.81,NA,4.01,F5,F2,NA,0,56,122,F2
